"pallet","code","number","ctr","ordernr","week"
"1",4455,16,"MMAU 1042520",51373,12
"10",4691,1,"MMAU 1042520",51373,12
"20",4601,4,"MMAU 1042520",51373,12
"20",1350,7,"MMAU 1042520",51373,12
"1",4455,7,"MMAU 1099206",51384,12
"2",4455,5,"MMAU 1099206",51384,12
"8",4691,1,"MMAU 1099206",51384,12
"8",4553,7,"MMAU 1099206",51384,12
"15",4553,7,"MMAU 1099206",51384,12
"18",1350,10,"MMAU 1099206",51384,12
"18",4601,20,"MMAU 1099206",51384,12
"19",4350,14,"MMAU 1099206",51384,12
